	Guage compr	TC Amp 2					TC Amp 3					
Min,Max,Step	
0119	85FD	E1BCE5	-23.6423	-0.472846	1.134154	n/a	9E892C	-76.1439	-1.522878	0.084122	n/a	
0120	85FD	E1DC19	-23.5471	-0.470941	1.136059	n/a	9E8928	-76.1439	-1.522879	0.084121	n/a	
0121	85FD	E1FBA5	-23.4508	-0.469016	1.137984	n/a	9E895F	-76.1433	-1.522865	0.084135	n/a	
0122	85FD	E21B07	-23.3550	-0.467100	1.139900	n/a	9E895E	-76.1433	-1.522866	0.084134	n/a	
0123	85FD	E23990	-23.2618	-0.465236	1.141764	n/a	9E8964	-76.1432	-1.522864	0.084136	n/a	
0124	85FD	E25776	-23.1706	-0.463412	1.143588	n/a	9E8995	-76.1426	-1.522853	0.084147	n/a	
0125	85ED	E274B7	-23.0813	-0.461626	1.145374	n/a	9E8952	-76.1434	-1.522869	0.084131	n/a	
0126	85ED	E292F6	-22.9890	-0.459780	1.147220	n/a	9E88FD	-76.1444	-1.522889	0.084111	n/a	
0127	85ED	E2AEDC	-22.9039	-0.458077	1.148923	n/a	9E88F5	-76.1445	-1.522891	0.084109	n/a	
0128	85ED	E2CBEF	-22.8151	-0.456303	1.150697	n/a	9E8938	-76.1437	-1.522875	0.084125	n/a	
0129	85ED	E2E785	-22.7309	-0.454619	1.152381	n/a	9E8919	-76.1441	-1.522882	0.084118	n/a	
0130	85ED	E3034B	-22.6462	-0.452924	1.154076	n/a	9E8949	-76.1435	-1.522871	0.084129	n/a	
0131	85ED	E31EAC	-22.5626	-0.451253	1.155747	n/a	9E891F	-76.1440	-1.522881	0.084119	n/a	
0132	85ED	E339F6	-22.4794	-0.449587	1.157413	n/a	9E88FD	-76.1444	-1.522889	0.084111	n/a	
0133	85ED	E354BA	-22.3977	-0.447954	1.159046	n/a	9E88FF	-76.1444	-1.522888	0.084112	n/a	
0134	85ED	E36EF6	-22.3176	-0.446352	1.160648	n/a	9E8924	-76.1440	-1.522880	0.084120	n/a	
0135	85ED	E38947	-22.2373	-0.444746	1.162254	n/a	9E8904	-76.1444	-1.522887	0.084113	n/a	
0136	85ED	E3A2E8	-22.1591	-0.443182	1.163818	n/a	9E893F	-76.1437	-1.522873	0.084127	n/a	
0137	85ED	E3BC3C	-22.0818	-0.441636	1.165364	n/a	9E891B	-76.1441	-1.522882	0.084118	n/a	
0138	85ED	E3D60F	-22.0030	-0.440060	1.166940	n/a	9E8940	-76.1436	-1.522873	0.084127	n/a	
0139	85ED	E3EEBB	-21.9277	-0.438554	1.168446	n/a	9E88D8	-76.1449	-1.522898	0.084102	n/a	
0140	85ED	E40695	-21.8549	-0.437098	1.169902	n/a	9E8945	-76.1436	-1.522872	0.084128	n/a	
0141	85ED	E41EB7	-21.7813	-0.435625	1.171375	n/a	9E88C1	-76.1452	-1.522903	0.084097	n/a	
0142	85ED	E436B1	-21.7081	-0.434162	1.172838	n/a	9E89A1	-76.1425	-1.522850	0.084150	n/a	
0143	85ED	E44E60	-21.6358	-0.432716	1.174284	n/a	9E8992	-76.1427	-1.522853	0.084147	n/a	
0144	85ED	E4656F	-21.5654	-0.431309	1.175691	n/a	9E8998	-76.1426	-1.522852	0.084148	n/a	
0145	85ED	E47C49	-21.4957	-0.429914	1.177086	n/a	9E89A1	-76.1425	-1.522850	0.084150	n/a	
0146	85ED	E49310	-21.4262	-0.428524	1.178476	n/a	9E8932	-76.1438	-1.522876	0.084124	n/a	
0147	85ED	E4A9B0	-21.3571	-0.427143	1.179857	n/a	9E8921	-76.1440	-1.522880	0.084120	n/a	
0148	85ED	E4BF6A	-21.2908	-0.425817	1.181183	n/a	9E896D	-76.1431	-1.522862	0.084138	n/a	
