	Guage compr	TC Amp 2					TC Amp 3					
Min,Max,Step	
0084	85AD	EC9400	-15.1733	-0.30347	1.30353	n/a	EC9610	-15.1670	-0.30334	1.30366	n/a	
0085	85AD	EC94DB	-15.1707	-0.30341	1.30359	n/a	EC94FF	-15.1703	-0.30341	1.30359	n/a	
0086	85AD	EC9472	-15.1720	-0.30344	1.30356	n/a	EC958C	-15.1686	-0.30337	1.30363	n/a	
0087	85AD	EC947E	-15.1718	-0.30344	1.30356	n/a	EC951C	-15.1699	-0.30340	1.30360	n/a	
0088	85AD	EC9361	-15.1752	-0.30350	1.30350	n/a	EC9631	-15.1666	-0.30333	1.30367	n/a	
0089	85AD	EC946B	-15.1721	-0.30344	1.30356	n/a	EC951D	-15.1699	-0.30340	1.30360	n/a	
0090	85AD	EC93DD	-15.1737	-0.30347	1.30353	n/a	EC962A	-15.1667	-0.30333	1.30367	n/a	
0091	85AD	EC947F	-15.1718	-0.30344	1.30356	n/a	EC9576	-15.1689	-0.30338	1.30362	n/a	
0092	85AD	EC94C5	-15.1710	-0.30342	1.30358	n/a	EC952E	-15.1697	-0.30339	1.30361	n/a	
0093	85AD	EC942C	-15.1728	-0.30346	1.30354	n/a	EC95DF	-15.1676	-0.30335	1.30365	n/a	
0094	85AD	EC946A	-15.1721	-0.30344	1.30356	n/a	EC950A	-15.1702	-0.30340	1.30360	n/a	
0095	85AD	EC92D2	-15.1769	-0.30354	1.30346	n/a	EC9552	-15.1693	-0.30339	1.30361	n/a	
0096	85AD	EC93CF	-15.1739	-0.30348	1.30352	n/a	EC9672	-15.1659	-0.30332	1.30368	n/a	
0097	85AD	EC938A	-15.1747	-0.30349	1.30351	n/a	EC95E4	-15.1676	-0.30335	1.30365	n/a	
0098	85AD	EC9322	-15.1760	-0.30352	1.30348	n/a	EC95F7	-15.1673	-0.30335	1.30365	n/a	
0099	85AD	EC941C	-15.1730	-0.30346	1.30354	n/a	EC95C1	-15.1680	-0.30336	1.30364	n/a	
0100	85AD	EC93D0	-15.1739	-0.30348	1.30352	n/a	EC9691	-15.1655	-0.30331	1.30369	n/a	
0101	85AD	EC9345	-15.1756	-0.30351	1.30349	n/a	EC9636	-15.1666	-0.30333	1.30367	n/a	
0102	85AD	EC9506	-15.1702	-0.30340	1.30360	n/a	EC9687	-15.1656	-0.30331	1.30369	n/a	
0103	85AD	EC9344	-15.1756	-0.30351	1.30349	n/a	EC95F7	-15.1673	-0.30335	1.30365	n/a	
0104	85AD	EC940F	-15.1732	-0.30346	1.30354	n/a	EC96A9	-15.1652	-0.30330	1.30370	n/a	
0105	85AD	EC9438	-15.1727	-0.30345	1.30355	n/a	EC9698	-15.1654	-0.30331	1.30369	n/a	
0106	85AD	EC9501	-15.1703	-0.30341	1.30359	n/a	EC96F8	-15.1643	-0.30329	1.30371	n/a	
0107	85AD	EC9388	-15.1748	-0.30350	1.30350	n/a	EC96CB	-15.1648	-0.30330	1.30370	n/a	
0108	85AD	EC93D6	-15.1738	-0.30348	1.30352	n/a	EC964D	-15.1663	-0.30333	1.30367	n/a	
0109	85AD	EC9441	-15.1726	-0.30345	1.30355	n/a	EC965F	-15.1661	-0.30332	1.30368	n/a	
0110	85AD	EC944F	-15.1724	-0.30345	1.30355	n/a	EC96D0	-15.1647	-0.30329	1.30371	n/a	
0111	85AD	EC93E6	-15.1736	-0.30347	1.30353	n/a	EC9664	-15.1660	-0.30332	1.30368	n/a	
0112	85AD	EC942E	-15.1728	-0.30346	1.30354	n/a	EC96EF	-15.1644	-0.30329	1.30371	n/a	
0113	85AD	EC94C9	-15.1709	-0.30342	1.30358	n/a	EC96DE	-15.1646	-0.30329	1.30371	n/a	
0114	85ED	EC949A	-15.1715	-0.30343	1.30357	n/a	EC9762	-15.1630	-0.30326	1.30374	n/a	
0115	85ED	EC9441	-15.1726	-0.30345	1.30355	n/a	EC96BC	-15.1650	-0.30330	1.30370	n/a	
0116	85ED	EC9451	-15.1724	-0.30345	1.30355	n/a	EC967A	-15.1658	-0.30332	1.30368	n/a	
0117	85ED	EC9381	-15.1748	-0.30350	1.30350	n/a	EC9631	-15.1666	-0.30333	1.30367	n/a	
0118	85ED	EC945A	-15.1723	-0.30345	1.30355	n/a	EC9789	-15.1625	-0.30325	1.30375	n/a	
0119	85ED	EC94B6	-15.1712	-0.30342	1.30358	n/a	EC969E	-15.1653	-0.30331	1.30369	n/a	
0120	85ED	EC9579	-15.1688	-0.30338	1.30362	n/a	EC97F3	-15.1613	-0.30323	1.30377	n/a	
0121	856D	EC972E	-15.1636	-0.30327	1.30373	n/a	EC976B	-15.1629	-0.30326	1.30374	n/a	
0122	856D	EC96E1	-15.1645	-0.30329	1.30371	n/a	EC992F	-15.1575	-0.30315	1.30385	n/a	
0123	856D	EC96C3	-15.1649	-0.30330	1.30370	n/a	EC98E3	-15.1584	-0.30317	1.30383	n/a	
0124	856D	EC9681	-15.1657	-0.30331	1.30369	n/a	EC98E8	-15.1584	-0.30317	1.30383	n/a	
0125	856D	EC9711	-15.1640	-0.30328	1.30372	n/a	EC99CF	-15.1556	-0.30311	1.30389	n/a	
0126	856D	E9CA9D	-17.3504	-0.34701	1.25999	n/a	E967F4	-17.6515	-0.35303	1.25397	n/a	
0127	856D	E6DFE5	-19.6292	-0.39258	1.21442	n/a	E68C2B	-19.8847	-0.39769	1.20931	n/a	
0128	856D	E25CDC	-23.1541	-0.46308	1.14392	n/a	E1FC2C	-23.4492	-0.46898	1.13802	n/a	
0129	857D	DD5977	-27.0707	-0.54141	1.06559	n/a	DC5144	-27.8770	-0.55754	1.04946	n/a	
0130	857D	DA1CF3	-29.5991	-0.59198	1.01502	n/a	DA1BE6	-29.6024	-0.59205	1.01495	n/a	
0131	857D	D8B483	-30.6991	-0.61398	0.99302	n/a	D756CE	-31.7663	-0.63533	0.97167	n/a	
0132	857D	D00FDB	-37.4516	-0.74903	0.85797	n/a	CED255	-38.4206	-0.76841	0.83859	n/a	
0133	857D	C33753	-47.4874	-0.94975	0.65725	n/a	C272E2	-48.0869	-0.96174	0.64526	n/a	
0134	857D	9D60ED	-77.0480	-1.54096	0.06604	n/a	99E446	-79.7721	-1.59544	0.01156	n/a	
0135	857D	A28DC4	-73.0049	-1.46010	0.14690	n/a	A28F34	-73.0005	-1.46001	0.14699	n/a	
0136	857D	A2D048	-72.8019	-1.45604	0.15096	n/a	A2C5F9	-72.8333	-1.45667	0.15033	n/a	
0137	857D	9ECD23	-75.9365	-1.51873	0.08827	n/a	9ED5C3	-75.9101	-1.51820	0.08880	n/a	
0138	857D	9ECFA0	-75.9289	-1.51858	0.08842	n/a	9ECF9F	-75.9289	-1.51858	0.08842	n/a	
0139	857D	9ECF21	-75.9304	-1.51861	0.08839	n/a	9ECF99	-75.9290	-1.51858	0.08842	n/a	
0140	857D	9ECE54	-75.9328	-1.51866	0.08834	n/a	9ECEC5	-75.9315	-1.51863	0.08837	n/a	
